大学代码,大学名称,州,专业代码,专业名称,经度,纬度
102094,University of South Alabama,AL,11.0102,Artificial Intelligence,-88.178711,30.696033
104179,University of Arizona,AZ,11.0102,Artificial Intelligence,-110.950815,32.232672
110714,University of California-Santa Cruz,CA,11.0102,Artificial Intelligence,-122.058801,36.995584
119605,National University,CA,11.0102,Artificial Intelligence,-117.127296,32.829299
119678,Naval Postgraduate School,CA,11.0102,Artificial Intelligence,-121.874248,36.597159
122436,University of San Diego,CA,11.0102,Artificial Intelligence,-117.192073,32.770816
122755,San Jose State University,CA,11.0102,Artificial Intelligence,-121.880621,37.336569
123961,University of Southern California,CA,11.0102,Artificial Intelligence,-118.284169,34.021281
126614,University of Colorado Boulder,CO,11.0102,Artificial Intelligence,-105.270823,40.008781
128744,University of Bridgeport,CT,11.0102,Artificial Intelligence,-73.190166,41.164741
131469,George Washington University,DC,11.0102,Artificial Intelligence,-77.048363,38.89923
132903,University of Central Florida,FL,11.0102,Artificial Intelligence,-81.200889,28.602159
133669,Florida Atlantic University,FL,11.0102,Artificial Intelligence,-80.102978,26.372421
134237,Full Sail University,FL,11.0102,Artificial Intelligence,-81.301286,28.596546
135081,Keiser University-Ft Lauderdale,FL,11.0102,Artificial Intelligence,-80.163959,26.185869
135717,Miami Dade College,FL,11.0102,Artificial Intelligence,-80.190856,25.777717
137209,Seminole State College of Florida,FL,11.0102,Artificial Intelligence,-81.308003,28.745482
138354,University of West Florida,FL,11.0102,Artificial Intelligence,-87.218511,30.549076
139959,University of Georgia,GA,11.0102,Artificial Intelligence,-83.374039,33.956262
140243,Lanier Technical College,GA,11.0102,Artificial Intelligence,-83.778107,34.330323
142115,Boise State University,ID,11.0102,Artificial Intelligence,-116.203301,43.604284
142285,University of Idaho,ID,11.0102,Artificial Intelligence,-117.014167,46.727406
144740,DePaul University,IL,11.0102,Artificial Intelligence,-87.62724,41.877618
145725,Illinois Institute of Technology,IL,11.0102,Artificial Intelligence,-87.627321,41.8313
147767,Northwestern University,IL,11.0102,Artificial Intelligence,-87.679858,42.050356
151111,Indiana University-Indianapolis,IN,11.0102,Artificial Intelligence,-86.172217,39.772948
151351,Indiana University-Bloomington,IN,11.0102,Artificial Intelligence,-86.526559,39.16609
153001,Buena Vista University,IA,11.0102,Artificial Intelligence,-95.208529,42.642255
153269,Drake University,IA,11.0102,Artificial Intelligence,-93.652163,41.60129
153427,Orion Technical College,IA,11.0102,Artificial Intelligence,-90.528333,41.56056
153603,Iowa State University,IA,11.0102,Artificial Intelligence,-93.648504,42.026212
157289,University of Louisville,KY,11.0102,Artificial Intelligence,-85.760412,38.216862
159416,Louisiana State University-Shreveport,LA,11.0102,Artificial Intelligence,-93.70561,32.428465
161086,Colby College,ME,11.0102,Artificial Intelligence,-69.66337,44.564211
162061,Capitol Technology University,MD,11.0102,Artificial Intelligence,-76.850231,39.046673
162928,Johns Hopkins University,MD,11.0102,Artificial Intelligence,-76.621595,39.328977
163268,University of Maryland-Baltimore County,MD,11.0102,Artificial Intelligence,-76.711607,39.256686
164988,Boston University,MA,11.0102,Artificial Intelligence,-71.107942,42.351118
165015,Brandeis University,MA,11.0102,Artificial Intelligence,-71.260155,42.365727
166683,Massachusetts Institute of Technology,MA,11.0102,Artificial Intelligence,-71.093226,42.359243
167358,Northeastern University,MA,11.0102,Artificial Intelligence,-71.088782,42.339992
167987,University of Massachusetts-Dartmouth,MA,11.0102,Artificial Intelligence,-71.004552,41.62869
168421,Worcester Polytechnic Institute,MA,11.0102,Artificial Intelligence,-71.808339,42.274853
