大学代码,大学名称,州,专业代码,专业名称,经度,纬度
104151,Arizona State University Campus Immersion,AZ,14.4201,Robotics Engineering,-111.934383,33.417721
104346,Central Arizona College,AZ,14.4201,Robotics Engineering,-111.652501,32.957092
105330,Northern Arizona University,AZ,14.4201,Robotics Engineering,-111.653724,35.188449
106245,University of Arkansas at Little Rock,AR,14.4201,Robotics Engineering,-92.339778,34.723254
106625,Black River Technical College,AR,14.4201,Robotics Engineering,-90.951033,36.239793
110671,University of California-Riverside,CA,14.4201,Robotics Engineering,-117.32741,33.97246
119678,Naval Postgraduate School,CA,14.4201,Robotics Engineering,-121.874248,36.597159
122931,Santa Clara University,CA,14.4201,Robotics Engineering,-121.93784,37.348362
126614,University of Colorado Boulder,CO,14.4201,Robotics Engineering,-105.270823,40.008781
126775,Colorado School of Mines,CO,14.4201,Robotics Engineering,-105.223364,39.751443
128106,Colorado State University Pueblo,CO,14.4201,Robotics Engineering,-104.579033,38.30859
129367,Connecticut State Community College,CT,14.4201,Robotics Engineering,-72.672734,41.768397
129525,University of Hartford,CT,14.4201,Robotics Engineering,-72.715213,41.798591
130943,University of Delaware,DE,14.4201,Robotics Engineering,-75.752822,39.679577
139366,Columbus State University,GA,14.4201,Robotics Engineering,-84.94106,32.50096
139755,Georgia Institute of Technology-Main Campus,GA,14.4201,Robotics Engineering,-84.394832,33.77242
143358,Bradley University,IL,14.4201,Robotics Engineering,-89.616786,40.696896
145521,Highland Community College,IL,14.4201,Robotics Engineering,-89.67342,42.283344
145725,Illinois Institute of Technology,IL,14.4201,Robotics Engineering,-87.627321,41.8313
146685,Lincoln Land Community College,IL,14.4201,Robotics Engineering,-89.611249,39.721211
147800,Oakton College,IL,14.4201,Robotics Engineering,-87.880644,42.061893
148380,Rock Valley College,IL,14.4201,Robotics Engineering,-88.993544,42.306174
149231,Southern Illinois University Edwardsville,IL,14.4201,Robotics Engineering,-89.997779,38.793949
150066,Anderson University,IN,14.4201,Robotics Engineering,-85.664315,40.112768
151102,Purdue University Fort Wayne,IN,14.4201,Robotics Engineering,-85.108962,41.117278
151290,Indiana Institute of Technology,IN,14.4201,Robotics Engineering,-85.116479,41.078365
154235,Saint Ambrose University,IA,14.4201,Robotics Engineering,-90.579854,41.54065
155177,Hesston College,KS,14.4201,Robotics Engineering,-97.433883,38.134558
156392,Bluegrass Community and Technical College,KY,14.4201,Robotics Engineering,-84.499928,38.061375
160904,Xavier University of Louisiana,LA,14.4201,Robotics Engineering,-90.107307,29.964162
161767,Anne Arundel Community College,MD,14.4201,Robotics Engineering,-76.512223,39.049813
162061,Capitol Technology University,MD,14.4201,Robotics Engineering,-76.850231,39.046673
162928,Johns Hopkins University,MD,14.4201,Robotics Engineering,-76.621595,39.328977
163453,Morgan State University,MD,14.4201,Robotics Engineering,-76.585565,39.344161
164155,United States Naval Academy,MD,14.4201,Robotics Engineering,-76.481692,38.980507
164988,Boston University,MA,14.4201,Robotics Engineering,-71.107942,42.351118
165194,Cape Cod Community College,MA,14.4201,Robotics Engineering,-70.337334,41.691911
167358,Northeastern University,MA,14.4201,Robotics Engineering,-71.088782,42.339992
168254,Western New England University,MA,14.4201,Robotics Engineering,-72.520466,42.115017
168421,Worcester Polytechnic Institute,MA,14.4201,Robotics Engineering,-71.808339,42.274853
169521,Delta College,MI,14.4201,Robotics Engineering,-83.985943,43.559491
169716,University of Detroit Mercy,MI,14.4201,Robotics Engineering,-83.139158,42.414222
170240,Henry Ford College,MI,14.4201,Robotics Engineering,-83.236056,42.324639
170620,Lake Michigan College,MI,14.4201,Robotics Engineering,-86.393445,42.097276
170639,Lake Superior State University,MI,14.4201,Robotics Engineering,-84.365573,46.492849
170657,Lansing Community College,MI,14.4201,Robotics Engineering,-84.55157,42.738435
